,年次,件数,死傷者_総数,死傷者_死亡者_総数,死傷者_重傷者_総数,死傷者_軽傷者_総数,件数_信号無視,死傷者_総数_信号無視,死傷者_死亡者_信号無視,死傷者_重傷者_信号無視,死傷者_軽傷者_信号無視,件数_横断歩道外の横断,死傷者_総数_横断歩道外の横断,死傷者_死亡者_横断歩道外の横断,死傷者_重傷者_横断歩道外の横断,死傷者_軽傷者_横断歩道外の横断,件数_横断禁止場所の横断,死傷者_総数_横断禁止場所の横断,死傷者_死亡者_横断禁止場所の横断,死傷者_重傷者_横断禁止場所の横断,死傷者_軽傷者_横断禁止場所の横断,件数_その他横断違反,死傷者_総数_その他横断違反,死傷者_死亡者_その他横断違反,死傷者_重傷者_その他横断違反,死傷者_軽傷者_その他横断違反,件数_幼児のひとり歩き,死傷者_総数_幼児のひとり歩き,死傷者_死亡者_幼児のひとり歩き,死傷者_重傷者_幼児のひとり歩き,死傷者_軽傷者_幼児のひとり歩き,件数_路上遊戯,死傷者_総数_路上遊戯,死傷者_死亡者_路上遊戯,死傷者_重傷者_路上遊戯,死傷者_軽傷者_路上遊戯,件数_飛び出し,死傷者_総数_飛び出し,死傷者_死亡者_飛び出し,死傷者_重傷者_飛び出し,死傷者_軽傷者_飛び出し,件数_めいてい、徘徊,死傷者_総数_めいてい、徘徊,死傷者_死亡者_めいてい、徘徊,死傷者_重傷者_めいてい、徘徊,死傷者_軽傷者_めいてい、徘徊,件数_その他,死傷者_総数_その他,死傷者_死亡者_その他,死傷者_重傷者_その他,死傷者_軽傷者_その他,Unnamed: 51
0,1974,65,67,2,14,51,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
1,1975,67,70,1,17,52,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
2,1976,74,74,2,13,59,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
3,1977,66,71,1,10,60,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
4,1978,62,62,1,8,53,5,5,0,0,5,3,3,0,0,3,0,0,0,0,0,12,12,0,1,11,0,0,0,0,0,0,0,0,0,0,41,41,0,7,34,1,1,1,0,0,0,0,0,0,0,
5,1979,40,40,0,7,33,0,0,0,0,0,1,1,0,0,1,2,2,0,0,2,2,2,0,0,2,0,0,0,0,0,3,3,0,0,3,30,30,0,5,25,1,1,0,1,0,1,1,0,1,0,
6,1980,44,45,1,11,33,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,8,8,0,2,6,1,1,1,0,0,0,0,0,0,0,31,32,0,8,24,1,1,0,0,1,0,0,0,0,0,
7,1981,34,34,0,8,26,2,2,0,1,1,0,0,0,0,0,1,1,0,1,0,9,9,0,4,5,0,0,0,0,0,1,1,0,0,1,20,20,0,2,18,0,0,0,0,0,1,1,0,0,1,
8,1982,39,41,0,11,30,4,4,0,2,2,0,0,0,0,0,1,1,0,1,0,12,13,0,1,12,0,0,0,0,0,1,1,0,0,1,20,21,0,6,15,1,1,0,1,0,0,0,0,0,0,
9,1983,48,48,2,9,37,3,3,0,1,2,9,9,1,2,6,2,2,0,2,0,5,5,0,0,5,1,1,0,0,1,0,0,0,0,0,27,27,0,4,23,0,0,0,0,0,1,1,1,0,0,
10,1984,33,34,1,10,23,5,5,0,0,5,2,2,0,0,2,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,23,24,1,9,14,1,1,0,0,1,0,0,0,0,0,
11,1985,28,29,0,6,23,5,5,0,2,3,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,0,0,0,0,0,1,1,0,0,1,15,16,0,3,13,1,1,0,0,1,3,3,0,0,3,
12,1986,11,11,0,4,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,3,0,1,2,1,1,0,0,1,0,0,0,0,0,5,5,0,1,4,0,0,0,0,0,1,1,0,1,0,
13,1987,19,21,1,4,16,1,1,0,1,0,1,1,0,0,1,2,3,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,12,1,1,10,1,1,0,1,0,2,2,0,0,2,
14,1988,30,32,1,7,24,3,3,0,2,1,2,2,0,0,2,2,2,1,0,1,10,10,0,1,9,0,0,0,0,0,0,0,0,0,0,13,15,0,4,11,0,0,0,0,0,0,0,0,0,0,
15,1989,26,27,0,12,15,5,5,0,3,2,1,1,0,0,1,2,2,0,2,0,4,4,0,1,3,0,0,0,0,0,1,1,0,0,1,11,12,0,5,7,1,1,0,1,0,1,1,0,0,1,
16,1990,26,26,3,3,21,1,1,0,0,1,2,2,2,0,0,0,0,0,0,0,8,8,0,0,8,1,0,0,0,1,0,0,0,0,0,12,12,0,3,9,0,0,0,0,0,3,3,1,0,2,
17,1991,20,20,0,6,14,1,1,0,0,1,4,4,0,0,4,1,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,12,12,0,6,6,0,0,0,0,0,0,0,0,0,0,
18,1992,16,16,2,7,7,1,1,0,1,0,1,1,1,0,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,9,9,0,4,5,0,0,0,0,0,1,1,0,1,0,
19,1993,16,16,0,5,11,1,1,0,0,1,2,2,0,1,1,1,1,0,1,0,2,2,0,0,2,0,0,0,0,0,1,1,0,0,1,4,4,0,1,3,0,0,0,0,0,5,5,0,2,3,
20,1994,15,17,1,3,13,1,1,0,0,1,2,2,0,0,2,2,3,0,1,2,3,3,0,0,3,1,1,0,0,1,1,1,0,0,1,4,5,0,2,3,0,0,0,0,0,1,1,1,0,0,
21,1995,6,6,0,1,5,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,
22,1996,8,10,1,5,4,3,3,1,1,1,0,0,0,0,0,2,4,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,
23,1997,2,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
24,1998,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,
25,1999,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,
26,2000,15,16,0,4,12,5,6,0,2,4,1,1,0,1,0,2,2,0,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,1,1,0,0,1,
27,2001,9,9,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,1,1,0,0,1,
28,2002,7,7,0,2,5,3,3,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,1,1,
29,2003,9,9,2,1,6,3,3,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,
30,2004,13,13,0,3,10,3,3,0,2,1,1,1,0,1,0,2,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,2,2,0,0,2,
31,2005,15,16,1,0,15,4,4,1,0,3,2,3,0,0,3,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,
32,2006,6,6,1,0,5,2,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,1,0,0,1,
33,2007,42,46,1,1,44,6,6,0,0,6,2,2,0,0,2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0,0,17,2,2,1,1,0,13,17,0,0,17,
34,2008,10,11,1,0,10,2,2,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,1,3,1,0,2,
35,2009,42,44,1,2,41,7,7,1,1,5,3,3,0,0,3,1,1,0,1,0,2,2,0,0,2,2,2,0,0,2,0,0,0,0,0,22,23,0,0,23,0,0,0,0,0,5,6,0,0,6,
36,2010,45,48,2,0,46,4,5,0,0,5,5,5,0,0,5,1,1,0,0,1,7,7,0,0,7,1,1,0,0,1,1,2,0,0,2,19,20,0,0,20,0,0,0,0,0,7,7,2,0,5,
37,2011,36,40,2,1,37,5,5,0,0,5,8,9,1,0,8,0,0,0,0,0,2,2,0,0,2,1,1,0,0,1,0,0,0,0,0,14,15,0,1,14,1,1,1,0,0,5,7,0,0,7,
38,2012,30,31,1,1,29,2,2,1,0,1,3,4,0,1,3,1,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,17,17,0,0,17,0,0,0,0,0,5,5,0,0,5,
39,2013,21,21,1,1,19,2,2,0,0,2,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,1,1,0,1,0,2,2,1,0,1,
40,2014,22,22,0,1,21,2,2,0,0,2,6,6,0,0,6,2,2,0,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,8,8,0,0,8,0,0,0,0,0,2,2,0,0,2,
41,2015,17,17,0,0,17,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,2,2,0,0,2,2,2,0,0,2,
42,2016,15,18,1,0,17,0,0,0,0,0,6,7,0,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,5,0,0,0,0,0,3,4,0,0,4,
43,2017,7,7,1,0,6,1,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,1,1,1,0,0,
44,2018,6,6,1,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,1,0,0,1,1,1,1,0,0,
45,2019,3,3,0,0,3,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,
46,2020,6,7,0,0,7,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,1,1,0,0,1,
47,2021,12,12,3,1,8,2,2,0,0,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,0,2,1,1,1,0,0,4,4,1,0,3,
