,年,１５〜２４歳（女性）（万人）,２５〜３４歳（女性）（万人）,総数（女性）（万人）,１５〜２４歳（男性）（万人）,２５〜３４歳（男性）（万人）,総数（男性）（万人）
0,平成１５（２００３）年,64,55,119,55,43,98
1,平成１６（２００４）年,66,53,119,49,46,95
2,平成１７（２００５）年,60,52,112,44,45,89
3,平成１８（２００６）年,53,51,104,42,41,83
4,平成１９（２００７）年,50,50,100,39,42,81
5,平成２０（２００８）年,46,48,94,37,39,76
6,平成２１（２００９）年,49,48,97,38,43,81
7,平成２２（２０１０）年,49,54,103,37,43,80
8,平成２３（２０１１）年,47,47,94,36,46,82
9,平成２４（２０１２）年,43,55,98,34,48,82
10,平成２５（２０１３）年,45,53,98,35,49,84
11,平成２６（２０１４）年,42,57,99,31,49,80
12,平成２７（２０１５）年,39,50,89,31,47,78
