,年,女性（人）,男性（人）,計（人）
0,平成９（１９９７）年,625,1389,2014
1,平成１０（１９９８）年,834,1906,2740
2,平成１１（１９９９）年,836,1991,2827
3,平成１２（２０００）年,847,1933,2780
4,平成１３（２００１）年,780,1787,2567
5,平成１４（２００２）年,745,1818,2563
6,平成１５（２００３）年,810,1933,2743
7,平成１６（２００４）年,819,1860,2679
8,平成１７（２００５）年,805,1864,2669
9,平成１８（２００６）年,831,1679,2510
10,平成１９（２００７）年,931,1895,2826
11,平成２０（２００８）年,892,1884,2776
12,平成２１（２００９）年,877,1985,2862
13,平成２２（２０１０）年,900,1927,2827
14,平成２３（２０１１）年,1002,1917,2919
15,平成２４（２０１２）年,864,1711,2575
16,平成２５（２０１３）年,881,1739,2620
17,平成２６（２０１４）年,830,1613,2443
18,平成２７（２０１５）年,692,1598,2290
